# Constructed from biom file
#OTU ID	ERR3928931	ERR3928932	ERR3928933	ERR3928944	ERR3928945	ERR3928946	ERR3928988	ERR3928989	ERR3928990
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.433745992162451	0.30083969211289197	0.2620661672291112	0.515069098949696	0.540791639310351	0.21918130225998186	0.5100065825182174	0.4816069843148861	0.48260080486072754
d__Bacteria;p__Firmicutes;c__Clostridia	0.453081581759886	0.5670504148478891	0.6029669361782141	0.3665081997420306	0.3704659717413007	0.3076261795224823	0.44934348041989536	0.4656555193844333	0.4689722807769048
d__Bacteria;p__Firmicutes;c__Bacilli	0.042331670822942646	0.05868681483456066	0.06292121488020426	0.005623733185922241	0.005477259032081089	0.029309244769804225	0.014989664291570913	0.023068955312222552	0.014440148346879192
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.0196918418240114	0.01989270600779714	0.010559442635605213	0.01712916896996499	0.020056301546044052	0.004694583431277074	0.008418694351737439	0.01032849955608168	0.007451161637226499
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.0074367652297826865	0.009971343840591783	0.0003661662394727206	0.00021374608439285057	0.00017987714391070898	9.402599147049935e-05	0.00030025521693439425	0.0003255401006214856	0.0003494493354826346
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.01877449234057713	0.021333844257105727	0.012291309984462677	0.02586327621153492	0.021630226555262755	0.3659827395144229	0.004215121314655919	0.004365196803788103	0.004283572499464553
d__Bacteria;p__Firmicutes;c__Negativicutes	0.005726754542215889	0.004706607577221685	0.009718249923303017	0.06836189423254099	0.04041839423673631	0.017381376137546593	0.011051701638700588	0.012533293873927197	0.01903935250419903
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.014490559315995724	0.013620005997800807	0.011054261878135917	0.00018426386585590566	7.19508575642836e-05	0.014473286544209006	0.000727541487187186	0.000976620301864457	0.0016345210853220007
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.0005432846455290345	0.00031655059811402486	0.0006531614001405287	0.0	2.698157158660635e-05	0.0019409651096410222	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0026451727823298896	0.0019909366565592614	0.025631636763090444	8.107610097659848e-05	3.59754287821418e-05	0.01848953960844891	5.774138787199889e-05	7.39863865048831e-05	0.0001465432697185242
d__Bacteria;p__Firmicutes;__	0.0	0.00010829362567058746	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	0.0012112575703598148	0.0012328812768651494	0.0010193276396132493	0.0007075732448866777	0.0006295700036874814	0.0031028577185264784	0.0006582518217407874	0.0007990529742527375	0.0008679870591020279
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.00024047025293908087	0.0002082569724434374	0.0003265807000702643	0.00016215220195319697	0.00017987714391070898	0.0008663823499781725	0.00018477244119039646	0.00023675643681562593	0.00021417862497322766
d__Bacteria;p__Deinococcota;c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	4.6193110297599114e-05	2.959455460195324e-05	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	4.453152832205201e-05	0.0	0.0003067879303690362	9.581721024507094e-05	3.59754287821418e-05	0.016743342623996776	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria	3.562522265764161e-05	2.499083669321249e-05	0.00011875661820736885	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	0.0	1.6660557795474994e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Synergistota;c__Synergistia	0.0	0.0	0.0	0.0	0.0	0.00011417441821417777	0.0	0.0	0.0
